"messageID","timeSubmitted","ips","text","urls","whoisData"
"e3212c0f-e21d-4705-b569-b28acdc3ae9e","2025-02-27T18:56:43.620Z","[{""L"":[{""S"":""none""}]}]","[{""S"":""1:09\nI 5G\nweiyingwei_zishimo-kongqianh..\n>\niMessage\nToday 12:10 PM\nInternal Revenue Service (IRS)\nYou are eligible to receive a $1,400\nEconomic Impact Payment. Please\nprovide your accurate personal\ninformation. We will deposit the amount\ninto your bank account or mail a paper\ncheck within 1 to 2 business days.\nhttps://irs.gov.trax-through.com\n(Please reply with \""Y,\"" then exit the text\nmessage. Open it again, click the link, or\ncopy it into your Safari browser and\nopen it.)\nThe sender is not in your contact list.\nReport Junk\n+\nText Message SMS""}]","[{""L"":[{""S"":""https://irs.gov.trax-through.com""}]}]","[{""S"":""none""}]"
"2090d118-0c1c-4773-9175-f23d0e1ad086","2025-02-27T19:17:13.763Z","[{""L"":[{""S"":""none""}]}]","[{""S"":""none""}]","[{""L"":[{""S"":""none""}]}]","[{""S"":""none""}]"
